x,E,N,z
7.889434303,255079.0003,4208578.382,3766.56543
7.918982746,255079.0277,4208578.393,3766.562744
7.94853119,255079.0551,4208578.404,3766.560059
7.978079633,255079.0825,4208578.415,3766.555908
8.007628076,255079.1098,4208578.426,3766.55127
8.037176519,255079.1372,4208578.438,3766.544678
8.066724962,255079.1646,4208578.449,3766.538086
8.096273405,255079.192,4208578.46,3766.531006
8.125821848,255079.2193,4208578.471,3766.521484
8.155370291,255079.2467,4208578.482,3766.513672
8.184918734,255079.2741,4208578.493,3766.503906
8.214467177,255079.3015,4208578.504,3766.49707
8.24401562,255079.3288,4208578.515,3766.490723
8.273564063,255079.3562,4208578.527,3766.482666
8.303112507,255079.3836,4208578.538,3766.477051
8.33266095,255079.411,4208578.549,3766.469971
8.362209393,255079.4383,4208578.56,3766.465332
8.391757836,255079.4657,4208578.571,3766.46167
8.421306279,255079.4931,4208578.582,3766.455566
8.450854722,255079.5205,4208578.593,3766.452637
8.480403165,255079.5478,4208578.604,3766.447266
8.509951608,255079.5752,4208578.616,3766.44458
8.539500051,255079.6026,4208578.627,3766.439453
8.569048494,255079.63,4208578.638,3766.436768
8.598596937,255079.6573,4208578.649,3766.434082
8.62814538,255079.6847,4208578.66,3766.428467
8.657693824,255079.7121,4208578.671,3766.425781
8.687242267,255079.7395,4208578.682,3766.419922
8.71679071,255079.7669,4208578.693,3766.416992
8.746339153,255079.7942,4208578.704,3766.414307
8.775887596,255079.8216,4208578.716,3766.407471
8.805436039,255079.849,4208578.727,3766.404541
8.834984482,255079.8764,4208578.738,3766.397705
8.864532925,255079.9037,4208578.749,3766.394775
8.894081368,255079.9311,4208578.76,3766.39209
8.923629811,255079.9585,4208578.771,3766.384033
8.953178254,255079.9859,4208578.782,3766.381348
8.982726697,255080.0132,4208578.793,3766.373291
9.012275141,255080.0406,4208578.805,3766.371094
9.041823584,255080.068,4208578.816,3766.368652
9.071372027,255080.0954,4208578.827,3766.358643
9.10092047,255080.1227,4208578.838,3766.356689
9.130468913,255080.1501,4208578.849,3766.343994
9.160017356,255080.1775,4208578.86,3766.340576
9.189565799,255080.2049,4208578.871,3766.337646
9.219114242,255080.2322,4208578.882,3766.323486
9.248662685,255080.2596,4208578.894,3766.320557
9.278211128,255080.287,4208578.905,3766.306885
9.307759571,255080.3144,4208578.916,3766.303711
9.337308014,255080.3417,4208578.927,3766.301025
9.366856458,255080.3691,4208578.938,3766.288818
9.396404901,255080.3965,4208578.949,3766.285889
9.425953344,255080.4239,4208578.96,3766.274658
9.455501787,255080.4512,4208578.971,3766.272217
9.48505023,255080.4786,4208578.983,3766.263184
9.514598673,255080.506,4208578.994,3766.260742
9.544147116,255080.5334,4208579.005,3766.258301
9.573695559,255080.5607,4208579.016,3766.25
9.603244002,255080.5881,4208579.027,3766.247559
9.632792445,255080.6155,4208579.038,3766.23877
9.662340888,255080.6429,4208579.049,3766.235596
9.691889331,255080.6702,4208579.06,3766.232178
9.721437775,255080.6976,4208579.072,3766.222168
9.750986218,255080.725,4208579.083,3766.218262
9.780534661,255080.7524,4208579.094,3766.208496
9.810083104,255080.7798,4208579.105,3766.20459
9.839631547,255080.8071,4208579.116,3766.200684
9.86917999,255080.8345,4208579.127,3766.190918
9.898728433,255080.8619,4208579.138,3766.186523
9.928276876,255080.8893,4208579.149,3766.177002
9.957825319,255080.9166,4208579.16,3766.172607
9.987373762,255080.944,4208579.172,3766.168457
10.01692221,255080.9714,4208579.183,3766.160156
10.04647065,255080.9988,4208579.194,3766.15625
10.07601909,255081.0261,4208579.205,3766.150391
10.10556753,255081.0535,4208579.216,3766.147461
10.13511598,255081.0809,4208579.227,3766.144775
10.16466442,255081.1083,4208579.238,3766.141113
10.19421286,255081.1356,4208579.249,3766.13916
10.22376131,255081.163,4208579.261,3766.136475
10.25330975,255081.1904,4208579.272,3766.135254
10.28285819,255081.2178,4208579.283,3766.133789
10.31240664,255081.2451,4208579.294,3766.131104
10.34195508,255081.2725,4208579.305,3766.129395
10.37150352,255081.2999,4208579.316,3766.125732
10.40105197,255081.3273,4208579.327,3766.122559
10.43060041,255081.3546,4208579.338,3766.115479
10.46014885,255081.382,4208579.35,3766.11084
10.48969729,255081.4094,4208579.361,3766.105957
