x,E,N,z
8.429010496,260100.0661,4203470.243,3508.158447
8.457429809,260100.0507,4203470.219,3508.161865
8.485849122,260100.0353,4203470.195,3508.168945
8.514268435,260100.0199,4203470.171,3508.174072
8.542687748,260100.0046,4203470.147,3508.183838
8.571107061,260099.9892,4203470.123,3508.19043
8.599526374,260099.9738,4203470.099,3508.199951
8.627945687,260099.9585,4203470.075,3508.208008
8.656365,260099.9431,4203470.051,3508.21167
8.684784313,260099.9277,4203470.028,3508.217529
8.713203626,260099.9124,4203470.004,3508.221191
8.741622939,260099.897,4203469.98,3508.223145
8.770042252,260099.8816,4203469.956,3508.230225
8.798461565,260099.8663,4203469.932,3508.240234
8.826880878,260099.8509,4203469.908,3508.246338
8.855300191,260099.8355,4203469.884,3508.262207
8.883719504,260099.8202,4203469.86,3508.286133
8.912138817,260099.8048,4203469.836,3508.29834
8.94055813,260099.7894,4203469.812,3508.323486
8.968977444,260099.7741,4203469.788,3508.335205
8.997396757,260099.7587,4203469.765,3508.366455
9.02581607,260099.7433,4203469.741,3508.389404
9.054235383,260099.728,4203469.717,3508.398926
9.082654696,260099.7126,4203469.693,3508.420898
9.111074009,260099.6972,4203469.669,3508.442383
9.139493322,260099.6819,4203469.645,3508.453369
9.167912635,260099.6665,4203469.621,3508.471924
9.196331948,260099.6511,4203469.597,3508.484863
9.224751261,260099.6357,4203469.573,3508.489502
9.253170574,260099.6204,4203469.549,3508.500244
9.281589887,260099.605,4203469.526,3508.509766
9.3100092,260099.5896,4203469.502,3508.513916
9.338428513,260099.5743,4203469.478,3508.522461
9.366847826,260099.5589,4203469.454,3508.525635
9.395267139,260099.5435,4203469.43,3508.532715
9.423686452,260099.5282,4203469.406,3508.537109
9.452105765,260099.5128,4203469.382,3508.53833
9.480525079,260099.4974,4203469.358,3508.541016
9.508944392,260099.4821,4203469.334,3508.543945
9.537363705,260099.4667,4203469.31,3508.54541
9.565783018,260099.4513,4203469.286,3508.548096
9.594202331,260099.436,4203469.263,3508.551514
9.622621644,260099.4206,4203469.239,3508.554688
9.651040957,260099.4052,4203469.215,3508.559326
9.67946027,260099.3899,4203469.191,3508.562988
9.707879583,260099.3745,4203469.167,3508.56543
9.736298896,260099.3591,4203469.143,3508.571289
9.764718209,260099.3438,4203469.119,3508.578613
9.793137522,260099.3284,4203469.095,3508.583984
9.821556835,260099.313,4203469.071,3508.595703
9.849976148,260099.2977,4203469.047,3508.600342
9.878395461,260099.2823,4203469.023,3508.609131
9.906814774,260099.2669,4203469,3508.618164
9.935234087,260099.2515,4203468.976,3508.625244
9.9636534,260099.2362,4203468.952,3508.63623
9.992072714,260099.2208,4203468.928,3508.647217
10.02049203,260099.2054,4203468.904,3508.653564
10.04891134,260099.1901,4203468.88,3508.66333
10.07733065,260099.1747,4203468.856,3508.672852
10.10574997,260099.1593,4203468.832,3508.679688
10.13416928,260099.144,4203468.808,3508.690674
10.16258859,260099.1286,4203468.784,3508.701172
10.1910079,260099.1132,4203468.761,3508.705811
10.21942722,260099.0979,4203468.737,3508.71582
10.24784653,260099.0825,4203468.713,3508.722412
10.27626584,260099.0671,4203468.689,3508.734863
10.30468516,260099.0518,4203468.665,3508.74585
10.33310447,260099.0364,4203468.641,3508.750488
10.36152378,260099.021,4203468.617,3508.757813
10.3899431,260099.0057,4203468.593,3508.762451
10.41836241,260098.9903,4203468.569,3508.764893
10.44678172,260098.9749,4203468.545,3508.768555
10.47520104,260098.9596,4203468.521,3508.771729
10.50362035,260098.9442,4203468.498,3508.774414
10.53203966,260098.9288,4203468.474,3508.780762
10.56045897,260098.9135,4203468.45,3508.787354
10.58887829,260098.8981,4203468.426,3508.791748
10.6172976,260098.8827,4203468.402,3508.799805
10.64571691,260098.8674,4203468.378,3508.806152
10.67413623,260098.852,4203468.354,3508.815918
10.70255554,260098.8366,4203468.33,3508.822266
10.73097485,260098.8212,4203468.306,3508.825439
10.75939417,260098.8059,4203468.282,3508.829834
10.78781348,260098.7905,4203468.259,3508.83374
10.81623279,260098.7751,4203468.235,3508.835938
10.84465211,260098.7598,4203468.211,3508.842773
10.87307142,260098.7444,4203468.187,3508.851318
10.90149073,260098.729,4203468.163,3508.856445
10.92991004,260098.7137,4203468.139,3508.868164
10.95832936,260098.6983,4203468.115,3508.880615
10.98674867,260098.6829,4203468.091,3508.884277
11.01516798,260098.6676,4203468.067,3508.889893
11.0435873,260098.6522,4203468.043,3508.89209
11.07200661,260098.6368,4203468.019,3508.89624
11.10042592,260098.6215,4203467.996,3508.900391
11.12884524,260098.6061,4203467.972,3508.9021
11.15726455,260098.5907,4203467.948,3508.906006
11.18568386,260098.5754,4203467.924,3508.910645
11.21410317,260098.56,4203467.9,3508.913818
11.24252249,260098.5446,4203467.876,3508.922363
11.2709418,260098.5293,4203467.852,3508.934326
11.29936111,260098.5139,4203467.828,3508.94043
11.32778043,260098.4985,4203467.804,3508.948975
11.35619974,260098.4832,4203467.78,3508.956055
11.38461905,260098.4678,4203467.756,3508.961914
11.41303837,260098.4524,4203467.733,3508.970703
11.44145768,260098.437,4203467.709,3508.97583
11.46987699,260098.4217,4203467.685,3508.980957
11.49829631,260098.4063,4203467.661,3508.987305
11.52671562,260098.3909,4203467.637,3508.991455
11.55513493,260098.3756,4203467.613,3508.994629
11.58355424,260098.3602,4203467.589,3508.996582
11.61197356,260098.3448,4203467.565,3508.998047
11.64039287,260098.3295,4203467.541,3509.000488
11.66881218,260098.3141,4203467.517,3509.00293
11.6972315,260098.2987,4203467.494,3509.004395
11.72565081,260098.2834,4203467.47,3509.010986
11.75407012,260098.268,4203467.446,3509.023682
11.78248944,260098.2526,4203467.422,3509.028809
11.81090875,260098.2373,4203467.398,3509.036133
11.83932806,260098.2219,4203467.374,3509.043213
11.86774738,260098.2065,4203467.35,3509.046387
11.89616669,260098.1912,4203467.326,3509.051025
11.924586,260098.1758,4203467.302,3509.052979
11.95300531,260098.1604,4203467.278,3509.055664
11.98142463,260098.1451,4203467.254,3509.057861
12.00984394,260098.1297,4203467.231,3509.058105
12.03826325,260098.1143,4203467.207,3509.058838
12.06668257,260098.099,4203467.183,3509.063965
12.09510188,260098.0836,4203467.159,3509.068848
12.12352119,260098.0682,4203467.135,3509.084473
12.15194051,260098.0528,4203467.111,3509.099365
12.18035982,260098.0375,4203467.087,3509.104492
12.20877913,260098.0221,4203467.063,3509.112793
12.23719844,260098.0067,4203467.039,3509.11792
12.26561776,260097.9914,4203467.015,3509.118408
12.29403707,260097.976,4203466.992,3509.121338
12.32245638,260097.9606,4203466.968,3509.121094
12.3508757,260097.9453,4203466.944,3509.122559
12.37929501,260097.9299,4203466.92,3509.123779
12.40771432,260097.9145,4203466.896,3509.123047
12.43613364,260097.8992,4203466.872,3509.124023
12.46455295,260097.8838,4203466.848,3509.124512
12.49297226,260097.8684,4203466.824,3509.124268
12.52139158,260097.8531,4203466.8,3509.124756
12.54981089,260097.8377,4203466.776,3509.124756
12.5782302,260097.8223,4203466.752,3509.124268
12.60664951,260097.807,4203466.729,3509.124268
12.63506883,260097.7916,4203466.705,3509.124023
12.66348814,260097.7762,4203466.681,3509.123779
12.69190745,260097.7609,4203466.657,3509.123535
12.72032677,260097.7455,4203466.633,3509.123047
12.74874608,260097.7301,4203466.609,3509.122803
12.77716539,260097.7148,4203466.585,3509.12207
12.80558471,260097.6994,4203466.561,3509.12207
12.83400402,260097.684,4203466.537,3509.121582
12.86242333,260097.6687,4203466.513,3509.12085
12.89084265,260097.6533,4203466.489,3509.12085
12.91926196,260097.6379,4203466.466,3509.120605
12.94768127,260097.6225,4203466.442,3509.120117
12.97610058,260097.6072,4203466.418,3509.120361
13.0045199,260097.5918,4203466.394,3509.120361
13.03293921,260097.5764,4203466.37,3509.120361
13.06135852,260097.5611,4203466.346,3509.121582
13.08977784,260097.5457,4203466.322,3509.12207
13.11819715,260097.5303,4203466.298,3509.123291
13.14661646,260097.515,4203466.274,3509.123291
13.17503578,260097.4996,4203466.25,3509.122803
13.20345509,260097.4842,4203466.227,3509.123535
13.2318744,260097.4689,4203466.203,3509.122559
13.26029371,260097.4535,4203466.179,3509.121826
13.28871303,260097.4381,4203466.155,3509.122314
13.31713234,260097.4228,4203466.131,3509.12085
13.34555165,260097.4074,4203466.107,3509.119873
13.37397097,260097.392,4203466.083,3509.119873
13.40239028,260097.3767,4203466.059,3509.118164
13.43080959,260097.3613,4203466.035,3509.116455
13.45922891,260097.3459,4203466.011,3509.116211
13.48764822,260097.3306,4203465.987,3509.11499
13.51606753,260097.3152,4203465.964,3509.115234
13.54448685,260097.2998,4203465.94,3509.114014
13.57290616,260097.2845,4203465.916,3509.113281
13.60132547,260097.2691,4203465.892,3509.113525
13.62974478,260097.2537,4203465.868,3509.113037
13.6581641,260097.2383,4203465.844,3509.112793
13.68658341,260097.223,4203465.82,3509.113037
13.71500272,260097.2076,4203465.796,3509.112549
13.74342204,260097.1922,4203465.772,3509.112061
13.77184135,260097.1769,4203465.748,3509.112549
13.80026066,260097.1615,4203465.725,3509.112061
13.82867998,260097.1461,4203465.701,3509.111572
13.85709929,260097.1308,4203465.677,3509.112549
13.8855186,260097.1154,4203465.653,3509.112061
13.91393792,260097.1,4203465.629,3509.111572
13.94235723,260097.0847,4203465.605,3509.112549
13.97077654,260097.0693,4203465.581,3509.112061
13.99919585,260097.0539,4203465.557,3509.113525
14.02761517,260097.0386,4203465.533,3509.112549
14.05603448,260097.0232,4203465.509,3509.111816
14.08445379,260097.0078,4203465.485,3509.113037
14.11287311,260096.9925,4203465.462,3509.111572
14.14129242,260096.9771,4203465.438,3509.110107
14.16971173,260096.9617,4203465.414,3509.11084
14.19813105,260096.9464,4203465.39,3509.109619
14.22655036,260096.931,4203465.366,3509.108154
14.25496967,260096.9156,4203465.342,3509.108887
14.28338898,260096.9003,4203465.318,3509.107666
14.3118083,260096.8849,4203465.294,3509.106934
14.34022761,260096.8695,4203465.27,3509.107178
14.36864692,260096.8541,4203465.246,3509.106689
14.39706624,260096.8388,4203465.222,3509.106934
14.42548555,260096.8234,4203465.199,3509.106689
14.45390486,260096.808,4203465.175,3509.106445
14.48232418,260096.7927,4203465.151,3509.106934
14.51074349,260096.7773,4203465.127,3509.106934
14.5391628,260096.7619,4203465.103,3509.106934
14.56758212,260096.7466,4203465.079,3509.107422
14.59600143,260096.7312,4203465.055,3509.10791
14.62442074,260096.7158,4203465.031,3509.108887
14.65284005,260096.7005,4203465.007,3509.11084
14.68125937,260096.6851,4203464.983,3509.113037
14.70967868,260096.6697,4203464.96,3509.116699
14.73809799,260096.6544,4203464.936,3509.121338
14.76651731,260096.639,4203464.912,3509.126953
14.79493662,260096.6236,4203464.888,3509.132568
14.82335593,260096.6083,4203464.864,3509.140625
14.85177525,260096.5929,4203464.84,3509.149414
14.88019456,260096.5775,4203464.816,3509.157715
14.90861387,260096.5622,4203464.792,3509.169922
14.93703319,260096.5468,4203464.768,3509.184082
14.9654525,260096.5314,4203464.744,3509.197266
14.99387181,260096.5161,4203464.72,3509.229492
15.02229112,260096.5007,4203464.697,3509.247803
15.05071044,260096.4853,4203464.673,3509.262939
15.07912975,260096.4699,4203464.649,3509.279297
15.10754906,260096.4546,4203464.625,3509.296143
15.13596838,260096.4392,4203464.601,3509.30835
15.16438769,260096.4238,4203464.577,3509.320801
15.192807,260096.4085,4203464.553,3509.326904
15.22122632,260096.3931,4203464.529,3509.332031
15.24964563,260096.3777,4203464.505,3509.338623
15.27806494,260096.3624,4203464.481,3509.345215
15.30648425,260096.347,4203464.458,3509.354736
15.33490357,260096.3316,4203464.434,3509.367188
15.36332288,260096.3163,4203464.41,3509.375
15.39174219,260096.3009,4203464.386,3509.388916
15.42016151,260096.2855,4203464.362,3509.405518
15.44858082,260096.2702,4203464.338,3509.413574
15.47700013,260096.2548,4203464.314,3509.421143
