x,E,N,z
11.13827557,255230.6662,4208522.641,3753.062256
11.16973962,255230.6388,4208522.657,3753.061523
11.20120368,255230.6113,4208522.672,3753.061035
11.23266773,255230.5839,4208522.688,3753.061035
11.26413179,255230.5565,4208522.703,3753.060791
11.29559584,255230.5291,4208522.718,3753.060791
11.3270599,255230.5016,4208522.734,3753.060547
11.35852395,255230.4742,4208522.749,3753.060791
11.38998801,255230.4468,4208522.765,3753.061523
11.42145206,255230.4194,4208522.78,3753.061523
11.45291612,255230.392,4208522.796,3753.062256
11.48438018,255230.3645,4208522.811,3753.062256
11.51584423,255230.3371,4208522.826,3753.063477
11.54730829,255230.3097,4208522.842,3753.063721
11.57877234,255230.2823,4208522.857,3753.065186
11.6102364,255230.2548,4208522.873,3753.065186
11.64170045,255230.2274,4208522.888,3753.066406
11.67316451,255230.2,4208522.903,3753.067627
11.70462856,255230.1726,4208522.919,3753.067383
11.73609262,255230.1451,4208522.934,3753.068359
11.76755667,255230.1177,4208522.95,3753.067627
11.79902073,255230.0903,4208522.965,3753.068359
11.83048478,255230.0629,4208522.981,3753.067627
11.86194884,255230.0354,4208522.996,3753.067871
11.89341289,255230.008,4208523.011,3753.067871
11.92487695,255229.9806,4208523.027,3753.066406
11.956341,255229.9532,4208523.042,3753.065918
11.98780506,255229.9258,4208523.058,3753.063477
12.01926911,255229.8983,4208523.073,3753.062256
12.05073317,255229.8709,4208523.089,3753.058594
12.08219723,255229.8435,4208523.104,3753.056152
12.11366128,255229.8161,4208523.119,3753.051758
12.14512534,255229.7886,4208523.135,3753.049316
12.17658939,255229.7612,4208523.15,3753.046875
12.20805345,255229.7338,4208523.166,3753.042725
12.2395175,255229.7064,4208523.181,3753.040527
12.27098156,255229.6789,4208523.197,3753.037354
12.30244561,255229.6515,4208523.212,3753.035645
12.33390967,255229.6241,4208523.227,3753.033203
12.36537372,255229.5967,4208523.243,3753.031738
12.39683778,255229.5693,4208523.258,3753.030029
12.42830183,255229.5418,4208523.274,3753.027588
12.45976589,255229.5144,4208523.289,3753.025635
12.49122994,255229.487,4208523.305,3753.023193
12.522694,255229.4596,4208523.32,3753.021484
12.55415805,255229.4321,4208523.335,3753.019287
12.58562211,255229.4047,4208523.351,3753.017822
12.61708617,255229.3773,4208523.366,3753.016357
12.64855022,255229.3499,4208523.382,3753.01416
12.68001428,255229.3224,4208523.397,3753.011963
12.71147833,255229.295,4208523.413,3753.009033
12.74294239,255229.2676,4208523.428,3753.006348
12.77440644,255229.2402,4208523.443,3753.002686
12.8058705,255229.2128,4208523.459,3752.999756
12.83733455,255229.1853,4208523.474,3752.996094
12.86879861,255229.1579,4208523.49,3752.993896
12.90026266,255229.1305,4208523.505,3752.992676
12.93172672,255229.1031,4208523.521,3752.991943
12.96319077,255229.0756,4208523.536,3752.991455
12.99465483,255229.0482,4208523.551,3752.991211
13.02611888,255229.0208,4208523.567,3752.990967
