x,E,N,z,base_h,base_z
6.09,255020.8165,4208458,3782.662109,37.28142857,3745.38068
6.12,255020.7891,4208457.974,3782.67627,37.2721802,3745.40409
6.16,255020.7616,4208457.949,3782.691895,37.25984904,3745.432046
6.2,255020.7342,4208457.923,3782.705078,37.24751788,3745.45756
6.24,255020.7068,4208457.897,3782.70874,37.23518672,3745.473553
6.27,255020.6794,4208457.872,3782.72168,37.22593834,3745.495742
6.31,255020.652,4208457.846,3782.73291,37.21360718,3745.519303
6.35,255020.6246,4208457.82,3782.744141,37.20127602,3745.542865
6.39,255020.5972,4208457.794,3782.754883,37.18894486,3745.565938
6.42,255020.5698,4208457.769,3782.765381,37.17969649,3745.585685
6.46,255020.5424,4208457.743,3782.775879,37.16736533,3745.608514
6.5,255020.515,4208457.717,3782.787109,37.15503416,3745.632075
6.54,255020.4876,4208457.692,3782.797852,37.142703,3745.655149
6.57,255020.4602,4208457.666,3782.806885,37.13345463,3745.67343
6.61,255020.4327,4208457.64,3782.815186,37.12112347,3745.694063
6.65,255020.4053,4208457.615,3782.823975,37.10879231,3745.715183
6.69,255020.3779,4208457.589,3782.833008,37.09646115,3745.736547
6.72,255020.3505,4208457.563,3782.841553,37.08721278,3745.75434
6.76,255020.3231,4208457.537,3782.849854,37.07488161,3745.774972
6.8,255020.2957,4208457.512,3782.858643,37.06255045,3745.796093
6.84,255020.2683,4208457.486,3782.867188,37.05021929,3745.816969
6.88,255020.2409,4208457.46,3782.869385,37.03788813,3745.831497
6.91,255020.2135,4208457.435,3782.878906,37.02863976,3745.850266
6.95,255020.1861,4208457.409,3782.887207,37.0163086,3745.870898
6.99,255020.1587,4208457.383,3782.895996,37.00397744,3745.892019
7.03,255020.1313,4208457.358,3782.903809,36.99164627,3745.912163
7.06,255020.1038,4208457.332,3782.91333,36.9823979,3745.930932
7.1,255020.0764,4208457.306,3782.921631,36.97006674,3745.951564
7.14,255020.049,4208457.281,3782.93042,36.95773558,3745.972684
7.18,255020.0216,4208457.255,3782.939697,36.94540442,3745.994293
7.21,255019.9942,4208457.229,3782.949219,36.93615605,3746.013063
7.25,255019.9668,4208457.203,3782.959229,36.92382488,3746.035404
7.29,255019.9394,4208457.178,3782.96875,36.91149372,3746.057256
7.32,255019.9119,4208457.166,3782.973389,36.90224535,3746.071144
7.35,255019.8845,4208457.155,3782.983398,36.89299698,3746.090401
7.38,255019.857,4208457.143,3782.988281,36.88374861,3746.104532
7.41,255019.8296,4208457.132,3782.99292,36.87450024,3746.11842
7.44,255019.8021,4208457.12,3783.002686,36.86525187,3746.137434
