x,E,N,z,h
13.78200552,255013.9547,4208454.658,3784.097656,34.8832412281813
13.81179259,255013.9272,4208454.646,3784.099121,34.8737097749444
13.84157966,255013.8998,4208454.635,3784.10791,34.8641783217074
13.87136673,255013.8723,4208454.623,3784.111572,34.8546468684705
13.90115379,255013.8449,4208454.612,3784.124023,34.8451154184334
13.93094086,255013.8174,4208454.6,3784.128174,34.8355839651964
13.96072793,255013.79,4208454.589,3784.132324,34.8260525119595
13.990515,255013.7625,4208454.577,3784.14624,34.8165210587225
14.02030207,255013.7351,4208454.565,3784.147705,34.8069896054856
14.05008913,255013.7076,4208454.554,3784.159424,34.7974581554485
14.0798762,255013.6802,4208454.542,3784.161621,34.7879267022115
14.10966327,255013.6527,4208454.531,3784.162354,34.7783952489746
14.13945034,255013.6253,4208454.519,3784.170166,34.7688637957376
14.16705208,255013.5978,4208454.516,3784.169189,34.7600316180824
14.19465382,255013.5703,4208454.514,3784.168945,34.7511994404272
14.22225556,255013.5429,4208454.511,3784.167969,34.742367262772
14.2498573,255013.5154,4208454.508,3784.167725,34.7335350851168
14.27745904,255013.4879,4208454.505,3784.167725,34.7247029074615
14.30506077,255013.4605,4208454.503,3784.17334,34.7158707330062
14.33266251,255013.433,4208454.5,3784.17334,34.707038555351
14.36026425,255013.4055,4208454.497,3784.172852,34.6982063776957
14.38786599,255013.3781,4208454.494,3784.172852,34.6893742000405
14.41546773,255013.3506,4208454.492,3784.173096,34.6805420223853
14.44306947,255013.3231,4208454.489,3784.17334,34.6717098447301
14.47067121,255013.2957,4208454.486,3784.173584,34.6628776670749
14.49827295,255013.2682,4208454.483,3784.174072,34.6540454894196
14.52587469,255013.2407,4208454.481,3784.175781,34.6452133117644
14.55347643,255013.2133,4208454.478,3784.176758,34.6363811341092
14.58107817,255013.1858,4208454.475,3784.18335,34.627548956454
14.6086799,255013.1584,4208454.472,3784.185547,34.6187167819986
14.63628164,255013.1309,4208454.47,3784.188721,34.6098846043434
14.66388338,255013.1034,4208454.467,3784.193115,34.6010524266882
14.69148512,255013.076,4208454.464,3784.197998,34.592220249033
14.71908686,255013.0485,4208454.461,3784.204102,34.5833880713777
14.7466886,255013.021,4208454.459,3784.210449,34.5745558937225
14.77429034,255012.9936,4208454.456,3784.216553,34.5657237160673
14.80189208,255012.9661,4208454.453,3784.2229,34.5568915384121
14.82949382,255012.9386,4208454.45,3784.230713,34.5480593607569
14.85709556,255012.9112,4208454.448,3784.243652,34.5392271831016
14.8846973,255012.8837,4208454.445,3784.248779,34.5303950054464
14.91229904,255012.8562,4208454.442,3784.254395,34.5215628277912
