x,E,N,z,h
13.08904699,255228.9934,4208523.582,3752.990967,37.7811966703121
13.12051105,255228.9659,4208523.598,3752.991211,37.7853554416674
13.1519751,255228.9385,4208523.613,3752.991211,37.7895142117009
13.18343916,255228.9111,4208523.629,3752.991943,37.7936729830562
13.21490322,255228.8837,4208523.644,3752.992432,37.7978317544114
13.24636727,255228.8562,4208523.659,3752.994385,37.8019905244449
13.27783133,255228.8288,4208523.675,3752.99707,37.8061492958002
13.30929538,255228.8014,4208523.69,3753.000488,37.8103080658337
13.34075944,255228.774,4208523.706,3753.004395,37.814466837189
13.37222349,255228.7466,4208523.721,3753.008789,37.8186256072225
13.40368755,255228.7191,4208523.736,3753.013184,37.8227843785777
13.4351516,255228.6917,4208523.752,3753.017578,37.8269431486112
13.46661566,255228.6643,4208523.767,3753.020996,37.8311019199665
13.49807971,255228.6369,4208523.783,3753.024902,37.83526069
13.52954377,255228.6094,4208523.798,3753.028809,37.8394194613553
13.56100782,255228.582,4208523.814,3753.032715,37.8435782313888
13.59247188,255228.5546,4208523.829,3753.0354,37.847737002744
13.62393593,255228.5272,4208523.844,3753.03833,37.8518957727775
13.65539999,255228.4997,4208523.86,3753.041504,37.8560545441328
13.68686404,255228.4723,4208523.875,3753.043701,37.8602133141663
13.7183281,255228.4449,4208523.891,3753.046631,37.8643720855216
13.74979215,255228.4175,4208523.906,3753.048096,37.8685308555551
13.78125621,255228.3901,4208523.922,3753.050781,37.8726896269103
13.81272027,255228.3626,4208523.937,3753.052246,37.8768483982656
13.84418432,255228.3352,4208523.952,3753.054443,37.8810071682991
13.87564838,255228.3078,4208523.968,3753.055908,37.8851659396544
13.90711243,255228.2804,4208523.983,3753.057373,37.8893247096879
13.93857649,255228.2529,4208523.999,3753.058838,37.8934834810431
13.97004054,255228.2255,4208524.014,3753.060547,37.8976422510766
14.0015046,255228.1981,4208524.03,3753.062256,37.9018010224319
14.03296865,255228.1707,4208524.045,3753.063965,37.9059597924654
14.06443271,255228.1432,4208524.06,3753.066406,37.9101185638207
14.09589676,255228.1158,4208524.076,3753.068848,37.9142773338542
14.12736082,255228.0884,4208524.091,3753.071045,37.9184361052094
14.15882487,255228.061,4208524.107,3753.073242,37.9225948752429
14.19028893,255228.0335,4208524.122,3753.075684,37.9267536465982
14.22175298,255228.0061,4208524.138,3753.077881,37.9309124166317
14.25321704,255227.9787,4208524.153,3753.080322,37.9350711879869
14.28468109,255227.9513,4208524.168,3753.08252,37.9392299580205
14.31614515,255227.9239,4208524.184,3753.085205,37.9433887293757
14.34760921,255227.8964,4208524.199,3753.088135,37.947547500731
14.37907326,255227.869,4208524.215,3753.090576,37.9517062707645
14.41053732,255227.8416,4208524.23,3753.093018,37.9558650421197
14.44200137,255227.8142,4208524.246,3753.095215,37.9600238121533
14.47346543,255227.7867,4208524.261,3753.096924,37.9641825835085
14.50492948,255227.7593,4208524.276,3753.098389,37.968341353542
14.53639354,255227.7319,4208524.292,3753.099365,37.9725001248973
14.56785759,255227.7045,4208524.307,3753.099609,37.9766588949308
14.59932165,255227.677,4208524.323,3753.099854,37.980817666286
14.6307857,255227.6496,4208524.338,3753.099854,37.9849764363195
14.66224976,255227.6222,4208524.354,3753.100098,37.9891352076748
14.69371381,255227.5948,4208524.369,3753.100098,37.9932939777083
14.72517787,255227.5674,4208524.384,3753.100098,37.9974527490636
14.75664192,255227.5399,4208524.4,3753.100098,38.0016115190971
14.78810598,255227.5125,4208524.415,3753.100098,38.0057702904523
14.81957003,255227.4851,4208524.431,3753.100098,38.0099290604858
14.85103409,255227.4577,4208524.446,3753.099854,38.0140878318411
14.88249814,255227.4302,4208524.461,3753.099854,38.0182466018746
14.9139622,255227.4028,4208524.477,3753.099609,38.0224053732299
14.94733536,255227.3754,4208524.492,3753.099365,38.0268164804374
14.98070851,255227.348,4208524.511,3753.098389,38.0312275863231
15.01408167,255227.3206,4208524.53,3753.096436,38.0356386935306
